index,image_id,x1,y1,x2,y2,class_id
0,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1057,1440,1158,1540,0
1,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,868,1303,971,1403,0
2,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,578,900,689,1008,0
3,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,304,611,408,713,0
4,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,198,881,312,1003,0
5,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,193,1480,293,1574,0
6,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,257,1384,364,1502,0
7,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,430,302,533,392,0
8,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,747,1191,863,1308,0
9,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,992,454,1087,552,0
10,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,755,1326,862,1433,0
11,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,389,120,475,210,0
12,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,349,408,428,500,0
13,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,845,622,956,746,0
14,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,73,83,186,199,0
15,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,836,1147,943,1234,0
16,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,349,233,441,340,0
17,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,229,418,333,515,0
18,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,724,742,825,852,0
19,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,229,267,331,357,0
20,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,977,1330,1059,1416,0
21,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,832,342,943,445,0
22,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,139,1035,240,1147,0
23,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,150,178,263,291,0
24,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,51,516,158,638,0
25,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,700,1076,809,1181,0
26,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,357,1296,456,1403,0
27,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,898,843,990,937,0
28,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,454,41,554,158,0
29,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,765,867,876,970,0
30,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,629,1003,727,1106,0
31,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,532,471,642,575,0
32,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1025,1139,1136,1272,0
33,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1093,779,1194,879,0
34,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,706,532,823,649,0
35,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,79,1467,175,1558,0
36,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,302,924,398,1042,0
37,8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,421,1373,516,1476,0
